OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,ROUTE_DIR,ROUTE_PREFIX,ROUTE_NUMBER,ROUTE_SUFFIX,RAMP_NUMBER,RAMP_SUFFIX,ROAD_TYPE,TOWN_NUMBER,TOWN_NAME,PRI_SEC_STATUS,YEAR,GlobalID,Shape__Length
43131,44-W,27.84,27.94,R,US,44,,,,M,162,WINCHESTER,PRI,2022,153d254a-c9e0-4fa3-a448-69072d686a3a,478.5587128
43132,47-N,4.85,5.7,L,CT,47,,,,M,119,ROXBURY,PRI,2022,ee269901-e8a5-4e9d-b35d-eeb2a66c2b2d,4452.744171
43133,486-E,0,0.05,L,SSR,486,,,,M,130,SOUTHBURY,PRI,2022,6ac5b8a7-0997-41c0-80e4-bb371b4dc933,335.4995438
43134,49-N,0,0.47,L,CT,49,,,,M,137,STONINGTON,PRI,2022,c7fc23a7-446e-4938-bf7a-53213127e0f5,2470.867667
43135,5-N,15.07,19.3,L,US,5,,,,M,79,MERIDEN,PRI,2022,d04fc079-1d3c-4371-917d-d779d01a041c,22340.43561
43136,5-N,32.49,34.31,L,US,5,,,,M,63,HARTFORD,SEC,2022,2f0b8e1a-9a36-4708-9dd9-49b18d4054f5,9647.570526
43137,5-N,34.31,34.49,L,US,5,,,,M,42,EAST HARTFORD,SEC,2022,d567a8d3-49fc-4b05-ba40-8432d2c1dde2,974.7541821
43138,552-E,0,0.23,L,SR,552,,,,M,51,FARMINGTON,PRI,2022,72130efd-b60e-44d7-b48d-157ed55a1435,1229.894058
43139,598-E,0,0.72,L,SR,598,,,,M,63,HARTFORD,PRI,2022,0bd82b40-9f66-461b-893e-46f072d657c9,3820.146696
43140,598-E-803,0,0.13,L,SR,598,,803,,TR,63,HARTFORD,PRI,2022,2731e341-e464-414e-9b40-34a25fe49d14,789.5125033
43141,95-S,45.79,49.65,R,I,95,,,,M,92,NEW HAVEN,PRI,2022,fbfdf532-9f7d-4d25-be15-3f182a5e67f5,20427.64932
43142,95-S-187,0,0.14,L,I,95,,187,,ER,59,GUILFORD,PRI,2022,bdb44457-395e-41ed-9bb1-238a2b741015,729.9582464
43143,95-S-211,0,0.2,L,I,95,,211,,XR,154,WESTBROOK,PRI,2022,6ae91358-ad1d-4c4a-8004-9ef06b2096a8,1132.937797
43144,95-S-244,0,0.15,L,I,95,,244,,XR,152,WATERFORD,PRI,2022,08539179-724d-4dec-81a5-f40019449f10,675.240848
43145,95-S-270,0,0.25,L,I,95,,270,,ER,58,GROTON,PRI,2022,2928cc1f-ccd7-4536-b712-64b8ed006f8d,1287.353085
